[info]
Anlage=Kaco
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
09:30:00;900;10;;436.2;13.42;5820;242.8;22.80;5549;21;1333
09:30:00;900;12;;439.8;12.82;5559;243.5;21.86;5315;21;1293
09:30:00;900;6;;455.8;7.67;3537;244.5;13.82;3400;18;865
09:30:00;900;11;;428.9;12.61;5410;242.9;21.09;5151;22;1290
09:45:00;900;1;;423.9;2.62;1121;236.3;4.46;1047;19;241
09:45:00;900;2;;464.2;2.87;1331;234.7;5.34;1249;19;269
09:45:00;900;3;;408.9;2.78;1136;235.8;4.59;1079;19;244
09:45:00;900;4;;454.2;0.00;0;237.9;0.00;0;10;0
09:45:00;900;5;;417.9;2.52;1044;235.6;4.28;997;15;272
09:45:00;900;7;;411.3;2.47;1027;235.7;4.18;976;18;271
09:45:00;900;8;;400.6;2.57;1021;235.3;4.12;959;18;257
09:45:00;900;9;;424.0;2.63;1114;235.3;4.52;1056;18;264
09:45:00;900;10;;439.7;3.14;1411;235.5;5.67;1337;20;272
09:45:00;900;12;;431.6;3.27;1402;235.7;5.67;1329;20;283
09:45:00;900;6;;417.6;2.37;993;236.0;3.98;939;18;231
09:45:00;900;11;;432.7;2.51;1090;235.2;4.40;1021;21;240
