[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
03:10:00;300;4;;;;;;;;;
03:10:00;300;5;;;;;;;;;
03:10:00;300;6;;;;;;;;;
03:10:00;300;7;;;;;;;;;
03:10:00;300;8;;;;;;;;;
03:10:00;300;9;;;;;;;;;
03:10:00;300;10;;;;;;;;;
03:10:00;300;11;;;;;;;;;
03:10:00;300;12;;;;;;;;;
03:15:00;300;1;;;;;;;;;
03:15:00;300;2;;;;;;;;;
03:15:00;300;3;;;;;;;;;
03:15:00;300;4;;;;;;;;;
03:15:00;300;5;;;;;;;;;
03:15:00;300;6;;;;;;;;;
03:15:00;300;7;;;;;;;;;
03:15:00;300;8;;;;;;;;;
03:15:00;300;9;;;;;;;;;
03:15:00;300;10;;;;;;;;;
03:15:00;300;11;;;;;;;;;
03:15:00;300;12;;;;;;;;;
03:20:00;300;1;;;;;;;;;
03:20:00;300;2;;;;;;;;;
03:20:00;300;3;;;;;;;;;
03:20:00;300;4;;;;;;;;;
03:20:00;300;5;;;;;;;;;
03:20:00;300;6;;;;;;;;;
03:20:00;300;7;;;;;;;;;
03:20:00;300;8;;;;;;;;;
03:20:00;300;9;;;;;;;;;
03:20:00;300;10;;;;;;;;;
03:20:00;300;11;;;;;;;;;
03:20:00;300;12;;;;;;;;;
03:25:00;300;1;;;;;;;;;
03:25:00;300;2;;;;;;;;;
03:25:00;300;3;;;;;;;;;
03:25:00;300;4;;;;;;;;;
03:25:00;300;5;;;;;;;;;
03:25:00;300;6;;;;;;;;;
03:25:00;300;7;;;;;;;;;
03:25:00;300;8;;;;;;;;;
03:25:00;300;9;;;;;;;;;
03:25:00;300;10;;;;;;;;;
03:25:00;300;11;;;;;;;;;
03:25:00;300;12;;;;;;;;;
03:30:00;300;1;;;;;;;;;
03:30:00;300;2;;;;;;;;;
03:30:00;300;3;;;;;;;;;
03:30:00;300;4;;;;;;;;;
03:30:00;300;5;;;;;;;;;
03:30:00;300;6;;;;;;;;;
03:30:00;300;7;;;;;;;;;
03:30:00;300;8;;;;;;;;;
03:30:00;300;9;;;;;;;;;
03:30:00;300;10;;;;;;;;;
03:30:00;300;11;;;;;;;;;
03:30:00;300;12;;;;;;;;;
03:35:00;300;1;;;;;;;;;
03:35:00;300;2;;;;;;;;;
03:35:00;300;3;;;;;;;;;
03:35:00;300;4;;;;;;;;;
03:35:00;300;5;;;;;;;;;
03:35:00;300;6;;;;;;;;;
03:35:00;300;7;;;;;;;;;
03:35:00;300;8;;;;;;;;;
03:35:00;300;9;;;;;;;;;
03:35:00;300;10;;;;;;;;;
03:35:00;300;11;;;;;;;;;
03:35:00;300;12;;;;;;;;;
03:40:00;300;1;;;;;;;;;
03:40:00;300;2;;;;;;;;;
03:40:00;300;3;;;;;;;;;
03:40:00;300;4;;;;;;;;;
03:40:00;300;5;;;;;;;;;
03:40:00;300;6;;;;;;;;;
03:40:00;300;7;;;;;;;;;
03:40:00;300;8;;;;;;;;;
03:40:00;300;9;;;;;;;;;
03:40:00;300;10;;;;;;;;;
03:40:00;300;11;;;;;;;;;
03:40:00;300;12;;;;;;;;;
03:45:00;300;1;;;;;;;;;
03:45:00;300;2;;;;;;;;;
03:45:00;300;3;;;;;;;;;
03:45:00;300;4;;;;;;;;;
03:45:00;300;5;;;;;;;;;
03:45:00;300;6;;;;;;;;;
03:45:00;300;7;;;;;;;;;
03:45:00;300;8;;;;;;;;;
03:45:00;300;9;;;;;;;;;
03:45:00;300;10;;;;;;;;;
03:45:00;300;11;;;;;;;;;
03:45:00;300;12;;;;;;;;;
03:50:00;300;1;;;;;;;;;
03:50:00;300;2;;;;;;;;;
03:50:00;300;3;;;;;;;;;
03:50:00;300;4;;;;;;;;;
03:50:00;300;5;;;;;;;;;
03:50:00;300;6;;;;;;;;;
03:50:00;300;7;;;;;;;;;
03:50:00;300;8;;;;;;;;;
03:50:00;300;9;;;;;;;;;
03:50:00;300;10;;;;;;;;;
03:50:00;300;11;;;;;;;;;
03:50:00;300;12;;;;;;;;;
03:55:00;300;1;;;;;;;;;
03:55:00;300;2;;;;;;;;;
03:55:00;300;3;;;;;;;;;
03:55:00;300;4;;;;;;;;;
03:55:00;300;5;;;;;;;;;
03:55:00;300;6;;;;;;;;;
03:55:00;300;7;;;;;;;;;
03:55:00;300;8;;;;;;;;;
03:55:00;300;9;;;;;;;;;
03:55:00;300;10;;;;;;;;;
03:55:00;300;11;;;;;;;;;
03:55:00;300;12;;;;;;;;;
04:00:00;300;1;;;;;;;;;
04:00:00;300;2;;;;;;;;;
04:00:00;300;3;;;;;;;;;
04:00:00;300;4;;;;;;;;;
04:00:00;300;5;;;;;;;;;
04:00:00;300;6;;;;;;;;;
04:00:00;300;7;;;;;;;;;
04:00:00;300;8;;;;;;;;;
04:00:00;300;9;;;;;;;;;
04:00:00;300;10;;;;;;;;;
04:00:00;300;11;;;;;;;;;
04:00:00;300;12;;;;;;;;;
04:05:00;300;1;;;;;;;;;
04:05:00;300;2;;;;;;;;;
04:05:00;300;3;;;;;;;;;
04:05:00;300;4;;;;;;;;;
04:05:00;300;5;;;;;;;;;
04:05:00;300;6;;;;;;;;;
04:05:00;300;7;;;;;;;;;
04:05:00;300;8;;;;;;;;;
04:05:00;300;9;;;;;;;;;
04:05:00;300;10;;;;;;;;;
04:05:00;300;11;;;;;;;;;
04:05:00;300;12;;;;;;;;;
04:10:00;300;1;;;;;;;;;
04:10:00;300;2;;;;;;;;;
04:10:00;300;3;;;;;;;;;
04:10:00;300;4;;;;;;;;;
04:10:00;300;5;;;;;;;;;
04:10:00;300;6;;;;;;;;;
04:10:00;300;7;;;;;;;;;
04:10:00;300;8;;;;;;;;;
04:10:00;300;9;;;;;;;;;
04:10:00;300;10;;;;;;;;;
04:10:00;300;11;;;;;;;;;
04:10:00;300;12;;;;;;;;;
04:15:00;300;1;;;;;;;;;
04:15:00;300;2;;;;;;;;;
04:15:00;300;3;;;;;;;;;
04:15:00;300;4;;;;;;;;;
04:15:00;300;5;;;;;;;;;
04:15:00;300;6;;;;;;;;;
04:15:00;300;7;;;;;;;;;
